Risk_Category,Risk_Level,Trigger_Phrase,Example_Clause
Auto-Renewal,Risky,automatically renew,This Agreement shall automatically renew for successive one-year periods unless written notice is provided ninety days prior to expiration.
Auto-Renewal,Risky,automatically renew,The contract will renew automatically unless cancelled in writing at least 120 days before the end of the term.
Auto-Renewal,Risky,evergreen,This is an evergreen agreement that continues indefinitely until terminated by either party with 180 days written notice.
Auto-Renewal,Acceptable,written notice,Either party may elect not to renew this Agreement by providing written notice 30 days prior to expiration.
Auto-Renewal,Acceptable,written notice,This Agreement may be renewed for one additional term upon mutual written agreement sixty days prior to expiration.
Auto-Renewal,Preferred,mutual written agreement,This Agreement shall renew only upon mutual written agreement of both parties prior to the expiration date.
Liability Cap,Risky,shall not exceed,The aggregate liability of Supplier shall not exceed the fees paid in the prior three months.
Liability Cap,Risky,shall not exceed,In no event shall Supplier liability exceed one month of average fees under this Agreement.
Liability Cap,Risky,limitation of liability,The total limitation of liability for either party shall be capped at fifty thousand dollars regardless of claim type.
Liability Cap,Acceptable,shall not exceed,Supplier liability shall not exceed the total fees paid in the prior twelve months under this Agreement.
Liability Cap,Acceptable,shall not exceed,Aggregate liability shall not exceed two times the annual contract value for direct damages only.
Liability Cap,Preferred,unlimited liability,"No limitation of liability shall apply in cases of gross negligence, willful misconduct, or breach of confidentiality obligations."
Indemnification,Risky,sole discretion,Supplier shall defend claims at its sole discretion and shall have no obligation to indemnify Customer for third party claims.
Indemnification,Risky,indemnify and hold harmless,Customer shall indemnify and hold harmless Supplier against any and all claims arising from Customer use of services.
Indemnification,Risky,defend against,Customer shall defend against and bear all costs of any regulatory claims related to services provided.
Indemnification,Acceptable,indemnify,Each party shall indemnify the other for claims arising from its own negligence or willful misconduct.
Indemnification,Acceptable,mutual indemnification,Both parties shall maintain adequate insurance and provide mutual indemnification for claims arising from their respective acts or omissions.
Indemnification,Preferred,mutual indemnification,"Supplier shall indemnify Customer for all claims arising from Supplier negligence, errors, or failure to meet agreed specifications."
Payment Terms,Risky,net 30,All invoices are due and payable net 30 days from invoice date.
Payment Terms,Risky,due upon receipt,Payment is due upon receipt of invoice with no exceptions.
Payment Terms,Risky,late payment penalty,Late payments shall accrue interest at 1.5% per month compounded monthly from the due date.
Payment Terms,Acceptable,net 60,Invoices shall be payable within sixty days of receipt by Customer accounts payable department.
Payment Terms,Acceptable,net 75,All undisputed invoices shall be payable within seventy-five days of Customer receipt.
Payment Terms,Preferred,net 90,All undisputed invoices shall be payable within ninety days of Customer receipt in accordance with Customer standard payment terms.
Price Escalation,Risky,no cap on increases,Supplier reserves the right to adjust pricing annually with no cap on increases based on market conditions.
Price Escalation,Risky,Consumer Price Index,Pricing shall adjust annually based on the Consumer Price Index without limitation.
Price Escalation,Risky,price adjustment,Supplier may implement a price adjustment at any time with thirty days written notice.
Price Escalation,Acceptable,not to exceed,Annual price adjustments shall not exceed three percent per year based on documented CPI changes.
Price Escalation,Acceptable,not to exceed,Pricing increases are limited to a maximum of two and a half percent annually with ninety days advance written notice.
Price Escalation,Preferred,fixed pricing,Pricing shall remain fixed for the initial two-year term with any increases capped at two percent annually thereafter subject to mutual written agreement.
Termination Rights,Risky,termination fee,Early termination by Customer shall incur a termination fee equal to six months of average monthly fees.
Termination Rights,Risky,one hundred and eighty days,Either party may terminate with one hundred eighty days written notice with no termination for cause provision.
Termination Rights,Risky,no termination for convenience,Customer may not terminate this Agreement for convenience during the initial term under any circumstances.
Termination Rights,Acceptable,termination for convenience,Either party may terminate this Agreement for convenience upon sixty days written notice without penalty.
Termination Rights,Acceptable,termination for convenience,Customer may terminate for convenience with ninety days written notice with no early termination penalties after year one.
Termination Rights,Preferred,immediate termination,"Customer may terminate this Agreement immediately for cause including failure to meet SLAs, regulatory non-compliance, or insolvency of Supplier."
Force Majeure,Risky,beyond their reasonable control,Neither party shall be liable for delays caused by circumstances beyond their reasonable control including supply chain disruptions.
Force Majeure,Risky,acts of God,"Force majeure events including acts of God, pandemics, labor disputes, and government actions shall excuse performance indefinitely."
Force Majeure,Risky,supply chain disruptions,Supplier shall not be liable for any supply chain disruptions regardless of duration or impact on Customer operations.
Force Majeure,Acceptable,reasonable efforts,In a force majeure event Supplier shall use reasonable efforts to resume performance within thirty days and notify Customer within 48 hours.
Force Majeure,Acceptable,thirty days,Force majeure events exceeding thirty days shall trigger a joint review to identify alternative solutions at no additional cost to Customer.
Force Majeure,Preferred,right to terminate,Force majeure events exceeding thirty days shall give Customer the right to terminate without penalty and immediately engage alternative suppliers.
Intellectual Property,Risky,intellectual property,All intellectual property developed under this Agreement shall remain the exclusive property of Supplier.
Intellectual Property,Risky,work for hire,Work product shall not be considered work for hire and all rights remain with Supplier regardless of Customer funding.
Intellectual Property,Risky,ownership,Ownership of all process improvements and innovations developed during service delivery shall vest in Supplier.
Intellectual Property,Acceptable,license,Supplier grants Customer a non-exclusive license to use any work product developed specifically for Customer under this Agreement.
Intellectual Property,Acceptable,joint ownership,Jointly developed innovations shall be owned equally by both parties with neither party requiring consent for use.
Intellectual Property,Preferred,Customer ownership,"All custom work product, process improvements, and innovations funded by Customer shall be owned exclusively by Customer upon payment."
Exclusivity,Risky,exclusive supplier,Customer agrees that Supplier shall be the exclusive supplier of services for all Customer facilities during the term.
Exclusivity,Risky,sole source,Customer designates Supplier as sole source provider and agrees not to engage alternative suppliers.
Exclusivity,Risky,exclusivity period,During the exclusivity period Customer shall direct one hundred percent of volume to Supplier.
Exclusivity,Acceptable,preferred supplier,Supplier shall be designated as preferred supplier with Customer retaining the right to dual-source for business continuity purposes.
Exclusivity,Acceptable,minimum volume,Customer commits to a minimum annual volume with no exclusivity obligation and full rights to engage additional suppliers.
Exclusivity,Preferred,no exclusivity,Nothing in this Agreement shall restrict Customer from engaging additional suppliers at its sole discretion at any time.
Governing Law,Risky,binding arbitration,All disputes shall be resolved through binding arbitration and Customer expressly waives the right to jury trial.
Governing Law,Risky,governed by laws of,This Agreement shall be governed by the laws of the State of Ohio with exclusive jurisdiction in Franklin County courts.
Governing Law,Risky,venue,The exclusive venue for all disputes shall be the courts of Supplier home state jurisdiction.
Governing Law,Acceptable,jurisdiction,Disputes shall be resolved in the jurisdiction where the Customer facility involved in the dispute is located.
Governing Law,Acceptable,mediation,Parties agree to attempt mediation prior to initiating formal legal proceedings in any dispute.
Governing Law,Preferred,mutual agreement,Governing law and dispute resolution venue shall be mutually agreed upon with neither party having home jurisdiction advantage.
Delivery & Lead Time,Risky,best efforts,Supplier shall use best efforts to deliver orders within the requested timeframe but makes no guarantee of delivery dates.
Delivery & Lead Time,Risky,subject to availability,All orders are fulfilled subject to availability and Supplier assumes no liability for stock shortages or extended lead times.
Delivery & Lead Time,Risky,lead time,Lead times are estimates only and Supplier shall not be liable for delays regardless of impact on Customer production schedules.
Delivery & Lead Time,Acceptable,delivery commitment,Supplier commits to standard lead times of five business days for stocked items with advance notification of any delays.
Delivery & Lead Time,Acceptable,guaranteed delivery,Supplier guarantees delivery within agreed lead times for all catalog items with expedite options available at no premium.
Delivery & Lead Time,Preferred,guaranteed delivery,Supplier guarantees delivery within agreed lead times with financial penalties for late delivery exceeding twenty-four hours on critical production items.
Warranty,Risky,as is,All products are sold as-is with no warranty expressed or implied by Supplier.
Warranty,Risky,no warranty,Supplier disclaims all warranties including fitness for purpose and merchantability for all MRO products supplied.
Warranty,Risky,warranty void,Warranty is void if products are used outside Supplier recommended parameters regardless of Customer application requirements.
Warranty,Acceptable,standard warranty,Supplier provides standard manufacturer warranty on all products with defective items replaced within thirty days of notification.
Warranty,Acceptable,warranty coverage,All products carry a minimum twelve month warranty against defects in materials and workmanship from date of delivery.
Warranty,Preferred,extended warranty,Supplier provides a minimum twenty-four month warranty on all products with immediate replacement of defective items and no cost to Customer for return shipping.
Inventory & Availability,Risky,no stocking commitment,Supplier makes no commitment to maintain local inventory and all orders are subject to manufacturer availability.
Inventory & Availability,Risky,discontinued items,Supplier may discontinue any product at any time with no obligation to provide advance notice or alternative sourcing.
Inventory & Availability,Risky,allocation,During supply constraints Customer orders may be subject to allocation at Supplier sole discretion.
Inventory & Availability,Acceptable,safety stock,Supplier commits to maintaining safety stock of Customer top fifty items with a minimum thirty day supply at all times.
Inventory & Availability,Acceptable,stocking agreement,Supplier shall maintain agreed inventory levels for Customer critical items and provide sixty days advance notice of any product discontinuations.
Inventory & Availability,Preferred,dedicated inventory,Supplier shall maintain dedicated on-site or near-site inventory for Customer critical MRO items with guaranteed availability and next day delivery commitment.
Pricing & Catalog,Risky,list price,All products shall be billed at Supplier current list price at time of order with no price protection guarantee.
Pricing & Catalog,Risky,price changes,Supplier may change catalog pricing at any time with no advance notice requirement to Customer.
Pricing & Catalog,Risky,surcharges,"Supplier reserves the right to add fuel surcharges, handling fees, and other charges at its discretion."
Pricing & Catalog,Acceptable,price protection,Agreed pricing shall be protected for twelve months with a maximum three percent annual adjustment thereafter.
Pricing & Catalog,Acceptable,catalog pricing,Customer shall receive agreed discount off published list price with price protection for the contract term and sixty days notice of any list price changes.
Pricing & Catalog,Preferred,fixed pricing,"All agreed pricing shall remain fixed for the contract term with no surcharges, handling fees, or fuel charges. Any new products added shall be priced at the same discount tier as existing catalog."
